source,Advisors,Aqurirers,Busniesses
hillstar-capital-acquired-environmental-remediation-services,NA,hillstar capital , environmental remediation services
intertech-acquired-communications-integrators,NA,intertech , communications integrators
patoka-capital-llc-acquired-cyber-sciences-inc,NA,patoka capital llc , cyber sciences inc
wood-group-acquires-cec-controls-company-inc,NA,wood group , cec controls company inc
crossroads-industrial-services-acquired-antunes-pressure-switches,NA,crossroads industrial services , antunes pressure switches
advised-by-ebb-group-fore-machine-company-inc-and-aero-components-inc-have-been-acquired-by-p4g-capital-partners,NA,advised by ebb group fore machine company inc and aero components inc have been , by p4g capital partners
traverse-pointe-partners-acquired-redi-bag-inc,NA,traverse pointe partners , redi bag inc
cyberlinkasp-subsidiary-esw-capital-acquires-roseasp,NA,cyberlinkasp subsidiary esw capital , roseasp
advised-svg-capital-group-edynamic-learning-secures-investment-gauge-capital,advised svg capital group edynamic learning secures investment gauge capital,unchecked,unchecked
koda-enterprises-group-acquires-v-tek-inc,NA,koda enterprises group , v tek inc
advised-lawrence-evans-co-medworxs-secured-growth-capital-grenville-src,advised lawrence evans co medworxs secured growth capital grenville src,unchecked,unchecked
precocity-llc-acquired-gtt-software-technologies-inc,NA,precocity llc , gtt software technologies inc
sterling-partners-invests-grand-rapids-ophthalmology,sterling partners invests grand rapids ophthalmology,unchecked,unchecked
gutterglove-inc-received-debt-financing-noble-funding,gutterglove inc received debt financing noble funding,unchecked,unchecked
mw-hot-oil-inc-secures-financing-gemcap-lending,mw hot oil inc secures financing gemcap lending,unchecked,unchecked
advised-by-cascadia-capital-kenex-holdings-breslow-forsythe-group-co-invest-in-bubbies-homemade-ice-cream,advised by cascadia capital kenex holdings breslow forsythe group co invest in bubbies homemade ice cream,unchecked,unchecked
courtney-group-inc-acquired-flojos,NA,courtney group inc , flojos
dj-beverage-innovations-llc-acquired-spi-products-inc,NA,dj beverage innovations llc , spi products inc
services-company-advised-yale-group-secured-financing-able-lending,services company advised yale group secured financing able lending,unchecked,unchecked
auctus-group-inc-acquires-klg-consultants,NA,auctus group inc , klg consultants
waypoint-capital-partners-provides-growth-financing-dme-express,waypoint capital partners provides growth financing dme express,unchecked,unchecked
able-lending-provides-debt-financing-tortoise-blonde-advised-young-america-capital,able lending provides debt financing tortoise blonde advised young america capital,unchecked,unchecked
able-lending-provides-growth-financing-therafit-advised-young-america-capital,able lending provides growth financing therafit advised young america capital,unchecked,unchecked
